title|sub_category-name|company-name|description|personal_or_group|is_allowed_one_day|price_of_one_day|count_of_week|count_of_month|price_of_month|preparation|maximum_number_of_enrollment|curriculum_in_first_week|curriculum_in_second_week|curriculum_in_third_week|curriculum_in_fourth_week|curriculum_in_fifth_week|dayOfWeek|startTime|duration
최신 걸그룹 K-POP 안무 마스터|kpop|워너비댄스아카데미|최신 유행하는 걸그룹 K-POP안무를 2주에 1곡씩 마스터하고 영상촬영까지~|group|FALSE|10000|2|8|130000|운동복,실내용 운동화|15|G.NA(지나) - G.NA's Secret(예쁜 속옷)|G.NA(지나) - G.NA's Secret(예쁜 속옷)|G.NA(지나) - G.NA's Secret(예쁜 속옷)|G.NA(지나) - G.NA's Secret(예쁜 속옷)||Tue,Thu|19:30:00,19:30:00|1:00:00
POPPIN 쉽게 배우기|dance_etc|워너비댄스아카데미|아이솔레이션,웨이브,부갈루기초 그리고 팝을 주는 방법을 루틴으로 연결하여 쉽고 재미있게~! |group|FALSE|20000|1|4|70000|운동복,실내용 운동화|15|팝핀 기본기 익히기|롤과 올드맨 트레이닝|8카운트 마다 싱글팝 더블팝 다임스탑|루틴사이에 프리동작 넣기||Mon|21:00:00|1:00:00
비욘세 스타일의 걸리쉬 힙합 안무 배우기|girls_hiphop|워너비댄스아카데미|파워풀하면서도 섹시미를 강조하는 욘세언니 스타일의 걸스힙합을 1개월에 1곡씩 마스터하기|group|FALSE|20000|1|4|70000|운동복,실내용 운동화|15|비욘세 - PARTITION|비욘세 - PARTITION|비욘세 - PARTITION|비욘세 - PARTITION||Wed|21:00:00|1:00:00
보이쉬한 느낌의 POP안무 배우기|kpop|워너비댄스아카데미|EXO-으르렁'같은 강하면서 절도있는 안무스타일을 1개월에 1곡씩 마스터하기.|group|FALSE|20000|1|4|70000|운동복,실내용 운동화|15|빠른 리듬에 대한 이해|그루브한 힙합리듬과 롤에 대한 이해|여성적인 힙합 느낌 (체스트 업다운 바운스 등) 이해|포인트 부분에 나오는 다양한 스텝과 골반&백 웨이브 마스터하기||Fri|21:00:00|1:00:00
클럽에서 돋보이는 여성스러운 느낌의 걸스힙합 배우기|girls_hiphop|워너비댄스아카데미|골반과 가슴을 활용한 기본동작을 느낌있게 연출하여 안무완성하기.|group|FALSE|10000|2|8|130000|운동복,실내용 운동화|15|비욘세 - PARTITION|비욘세 - PARTITION|비욘세 - PARTITION|비욘세 - PARTITION||Tue,Thu|20:30:00,20:30:00|1:00:00
밤과 음악사이에서 써먹을 8090댄스 수업|kpop|제이댄스아카데미|1980~1990년대 유행했던 노래들의 안무를 배우는 시간으로,밤과음악사이/감성주점/노래방 등에서 재미있게 써먹을 수 있는 클래스입니다.|group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Mon|19:30:00|1:00:00
밤과 음악사이에서 써먹을 8090댄스 수업|kpop|제이댄스아카데미|1980~1990년대 유행했던 노래들의 안무를 배우는 시간으로,밤과음악사이/감성주점/노래방 등에서 재미있게 써먹을 수 있는 클래스입니다.|group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Sat|15:00:00|1:00:00
밤과 음악사이에서 써먹을 8090댄스 수업|kpop|제이댄스아카데미|1980~1990년대 유행했던 노래들의 안무를 배우는 시간으로,밤과음악사이/감성주점/노래방 등에서 재미있게 써먹을 수 있는 클래스입니다.|group|FALSE|10000|2|8|80,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Mon,Sat|19:30:00,15:00:00|1:00:00
스트릿 스타일의 스타일리쉬 힙합|urban_hiphop|제이댄스아카데미|힙합음악에 맞춰 팝핀 락킹 하우스 등 다양한 형식의 스트릿댄스를 접목한 안무를 배우는 클래스입니다. |group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Mon|20:30:00|1:00:00
기초부터 재밌고 쉽게 배우는 팝핀|dance_etc|제이댄스아카데미|로봇댄스에서 출발하여 온 몸의 근육을 튕기면서 추는 팝핀클래스는 파워풀하고 재기넘치는 댄스를 배우실 수 있습니다. |group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Tue|19:30:00|1:00:00
아름다운 몸을 만들 수 있는 재즈댄스|jazz_dance|제이댄스아카데미|다양한 장르가 더해져 자유로운 감정 표현이 특징인 재즈댄스는 아름다운 몸의 라인을 만드는데도 도움이 되는 클래스입니다. |group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Tue|20:30:00|1:00:00
아름다운 몸을 만들 수 있는 재즈댄스|jazz_dance|제이댄스아카데미|다양한 장르가 더해져 자유로운 감정 표현이 특징인 재즈댄스는 아름다운 몸의 라인을 만드는데도 도움이 되는 클래스입니다. |group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Thu|20:30:00|1:00:00
아름다운 몸을 만들 수 있는 재즈댄스|jazz_dance|제이댄스아카데미|다양한 장르가 더해져 자유로운 감정 표현이 특징인 재즈댄스는 아름다운 몸의 라인을 만드는데도 도움이 되는 클래스입니다. |group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||The,Thu|20:30:00,20:30:00|1:00:00
파워풀하면서도 섹시한 걸스힙합의 기초|girls_hiphop|제이댄스아카데미|일반 힙합댄스에 웨이브 등 여성성을 가미하여 파워풀하면서도 섹시한 느낌의 댄스를 배울 수 있는 클래스입니다.|group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Tue|21:30:00|1:00:00
댄스의 가장 기초부터 배운다! 댄스 기초반|kpop|제이댄스아카데미|춤을 처음 배우는 분들을 위한 클래스로,춤을 추기 위한 기초 근력을 키우고 스텝/리듬/웨이브 등 기본기를 다지는 시간입니다.|group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Wed|19:00:00|1:00:00
초보인 나도 한번 배워보자 비보잉!|dance_etc|제이댄스아카데미|빠른 스텝과 회전,프리즈 등 화려하고 격렬한 동작이 특징인 스트릿 댄스입니다. 기본 스텝부터 고난이도 기술까지 재미있게 배울 수 있는 클래스입니다.|group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Wed|20:30:00|1:00:00
유명한 POP 음악에 맞춰 쉽게 배우는 춤|urban_hiphop|제이댄스아카데미|유명한 POP음악의 안무를 배우는 클래스입니다. 걸스힙합 재즈 등 다양한 장르를 접목한 다이내믹한 안무를 배울 수 있습니다.|group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Wed|21:30:00|1:00:00
신나게 하우스 스텝을 밟아보자|dance_etc|제이댄스아카데미|하우스댄스는 스텝에 기반을 두고 리듬에 맞춰 자연스럽게 움직이는  연속적이고 부드러운 스텝위주의 댄스입니다.|group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Thu|19:30:00|1:00:00
어떤 노래가 나와도 두렵지 않다! 노래방댄스!|kpop|제이댄스아카데미|노래방 애창곡에 쉽고 재미있는 안무를 붙여 회식자리나 장기자랑 어디서든 즐길 수 있게 만든 클래스입니다.|group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Thu|21:30:00|1:00:00
칼 군무가 바로 이것! 재밌는 라인댄스|dance_etc|제이댄스아카데미|여러 사람이 앞과 옆의 줄을 맞춰 추는 춤으로 쉽게 배워 재미있게 출 수 있는 클래스입니다. |group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Fri|21:30:00|1:00:00
최신 유행의 KPOP 안무를 배워보자|kpop|제이댄스아카데미|최신 유행하는 노래의 안무를 배우는 클래스입니다. |group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Fri|21:30:00|1:00:00
클럽가서 이제 자신있게 춤을 추자!|dance_etc|제이댄스아카데미|클럽에서 쓸 수 있는 기본적인 스텝 및 리듬,최신 유행 클럽댄스를 배우는 클래스입니다.|group|FALSE|20000|1|4|50,000|운동복,실내용 운동화|15|미정|미정|미정|미정||Sat|14:00:00|1:00:00
통기타 초급자를 위한 재밌는 1:1강습|acoustic_guitar|스마일라이프|첫 수업 시작전 학생분과의 개별 면담및 간단한 오리앤테이션을 통하여 100%맞춤형으로 수업 방향 및 연습 곡들을 택하고 결정합니다.(학생분이 좋아하고 꼭 해보고 싶었던 곡들 위주로 프로그램 구성) 기초 코드를 익힌 후 바로 연습곡(가요,팝송)등을 통하여 실습에 들어갑니다.|personal|FALSE|40000|1|4|150000|개인 악기가 없을 시 학원 악기 사용,수업 교재,악보등은 선생님께서 드림|1|기타의 이해,기타와 친해지기~!!! - C Major Scale의 이해,-TAB의 이해,-크로매틱 연습,-손가락 포지션연습,- 앞으로의 곡들 선정 |코드 진행을 익히자~!!! -Power코드 이해,-8비트 Mute연주법 익히기,-Am 펜타토닉 연습,- 연습곡: Smoke on the water- Deep purple,미인- 시나위|실전 돌입~!!! - 16비트 연주법 익히기. -Mute Stroke 구분연주,-비브라토,밴딩등 테크닉연습,연습곡 코드진행 익히기,-연습곡: Still got the Bules- Gary moore,사랑해서,사랑해서-부활|밴드 곡을 완성하자~!!! -TB코드와 주법연습,-밴드합주(앙상블)연습,- 연습곡:학생분이 꼭 연주 해보고 싶었던 곡들||Mon|11:00:00|0:50:00
통기타 초급자를 위한 재밌는 1:1강습|acoustic_guitar|스마일라이프|첫 수업 시작전 학생분과의 개별 면담및 간단한 오리앤테이션을 통하여 100%맞춤형으로 수업 방향 및 연습 곡들을 택하고 결정합니다.(학생분이 좋아하고 꼭 해보고 싶었던 곡들 위주로 프로그램 구성) 기초 코드를 익힌 후 바로 연습곡(가요,팝송)등을 통하여 실습에 들어갑니다.|personal|FALSE|40000|1|4|150000|개인 악기가 없을 시 학원 악기 사용,수업 교재,악보등은 선생님께서 드림|1|기타의 이해,기타와 친해지기~!!! - C Major Scale의 이해,-TAB의 이해,-크로매틱 연습,-손가락 포지션연습,- 앞으로의 곡들 선정 |코드 진행을 익히자~!!! -Power코드 이해,-8비트 Mute연주법 익히기,-Am 펜타토닉 연습,- 연습곡: Smoke on the water- Deep purple,미인- 시나위|실전 돌입~!!! - 16비트 연주법 익히기. -Mute Stroke 구분연주,-비브라토,밴딩등 테크닉연습,연습곡 코드진행 익히기,-연습곡: Still got the Bules- Gary moore,사랑해서,사랑해서-부활|밴드 곡을 완성하자~!!! -TB코드와 주법연습,-밴드합주(앙상블)연습,- 연습곡:학생분이 꼭 연주 해보고 싶었던 곡들||Tue|11:00:00|0:50:00
통기타 초급자를 위한 재밌는 1:1강습|acoustic_guitar|스마일라이프|첫 수업 시작전 학생분과의 개별 면담및 간단한 오리앤테이션을 통하여 100%맞춤형으로 수업 방향 및 연습 곡들을 택하고 결정합니다.(학생분이 좋아하고 꼭 해보고 싶었던 곡들 위주로 프로그램 구성) 기초 코드를 익힌 후 바로 연습곡(가요,팝송)등을 통하여 실습에 들어갑니다.|personal|FALSE|40000|1|4|150000|개인 악기가 없을 시 학원 악기 사용,수업 교재,악보등은 선생님께서 드림|1|기타의 이해,기타와 친해지기~!!! - C Major Scale의 이해,-TAB의 이해,-크로매틱 연습,-손가락 포지션연습,- 앞으로의 곡들 선정 |코드 진행을 익히자~!!! -Power코드 이해,-8비트 Mute연주법 익히기,-Am 펜타토닉 연습,- 연습곡: Smoke on the water- Deep purple,미인- 시나위|실전 돌입~!!! - 16비트 연주법 익히기. -Mute Stroke 구분연주,-비브라토,밴딩등 테크닉연습,연습곡 코드진행 익히기,-연습곡: Still got the Bules- Gary moore,사랑해서,사랑해서-부활|밴드 곡을 완성하자~!!! -TB코드와 주법연습,-밴드합주(앙상블)연습,- 연습곡:학생분이 꼭 연주 해보고 싶었던 곡들||Wed|11:00:00|0:50:00
통기타 초급자를 위한 재밌는 1:1강습|acoustic_guitar|스마일라이프|첫 수업 시작전 학생분과의 개별 면담및 간단한 오리앤테이션을 통하여 100%맞춤형으로 수업 방향 및 연습 곡들을 택하고 결정합니다.(학생분이 좋아하고 꼭 해보고 싶었던 곡들 위주로 프로그램 구성) 기초 코드를 익힌 후 바로 연습곡(가요,팝송)등을 통하여 실습에 들어갑니다.|personal|FALSE|40000|1|4|150000|개인 악기가 없을 시 학원 악기 사용,수업 교재,악보등은 선생님께서 드림|1|기타의 이해,기타와 친해지기~!!! - C Major Scale의 이해,-TAB의 이해,-크로매틱 연습,-손가락 포지션연습,- 앞으로의 곡들 선정 |코드 진행을 익히자~!!! -Power코드 이해,-8비트 Mute연주법 익히기,-Am 펜타토닉 연습,- 연습곡: Smoke on the water- Deep purple,미인- 시나위|실전 돌입~!!! - 16비트 연주법 익히기. -Mute Stroke 구분연주,-비브라토,밴딩등 테크닉연습,연습곡 코드진행 익히기,-연습곡: Still got the Bules- Gary moore,사랑해서,사랑해서-부활|밴드 곡을 완성하자~!!! -TB코드와 주법연습,-밴드합주(앙상블)연습,- 연습곡:학생분이 꼭 연주 해보고 싶었던 곡들||Thu|11:00:00|0:50:00
통기타 초급자를 위한 재밌는 1:1강습|acoustic_guitar|스마일라이프|첫 수업 시작전 학생분과의 개별 면담및 간단한 오리앤테이션을 통하여 100%맞춤형으로 수업 방향 및 연습 곡들을 택하고 결정합니다.(학생분이 좋아하고 꼭 해보고 싶었던 곡들 위주로 프로그램 구성) 기초 코드를 익힌 후 바로 연습곡(가요,팝송)등을 통하여 실습에 들어갑니다.|personal|FALSE|40000|1|4|150000|개인 악기가 없을 시 학원 악기 사용,수업 교재,악보등은 선생님께서 드림|1|기타의 이해,기타와 친해지기~!!! - C Major Scale의 이해,-TAB의 이해,-크로매틱 연습,-손가락 포지션연습,- 앞으로의 곡들 선정 |코드 진행을 익히자~!!! -Power코드 이해,-8비트 Mute연주법 익히기,-Am 펜타토닉 연습,- 연습곡: Smoke on the water- Deep purple,미인- 시나위|실전 돌입~!!! - 16비트 연주법 익히기. -Mute Stroke 구분연주,-비브라토,밴딩등 테크닉연습,연습곡 코드진행 익히기,-연습곡: Still got the Bules- Gary moore,사랑해서,사랑해서-부활|밴드 곡을 완성하자~!!! -TB코드와 주법연습,-밴드합주(앙상블)연습,- 연습곡:학생분이 꼭 연주 해보고 싶었던 곡들||Fri|11:00:00|0:50:00
통기타 초급자를 위한 재밌는 1:1강습|acoustic_guitar|스마일라이프|첫 수업 시작전 학생분과의 개별 면담및 간단한 오리앤테이션을 통하여 100%맞춤형으로 수업 방향 및 연습 곡들을 택하고 결정합니다.(학생분이 좋아하고 꼭 해보고 싶었던 곡들 위주로 프로그램 구성) 기초 코드를 익힌 후 바로 연습곡(가요,팝송)등을 통하여 실습에 들어갑니다.|personal|FALSE|40000|1|4|150000|개인 악기가 없을 시 학원 악기 사용,수업 교재,악보등은 선생님께서 드림|1|기타의 이해,기타와 친해지기~!!! - C Major Scale의 이해,-TAB의 이해,-크로매틱 연습,-손가락 포지션연습,- 앞으로의 곡들 선정 |코드 진행을 익히자~!!! -Power코드 이해,-8비트 Mute연주법 익히기,-Am 펜타토닉 연습,- 연습곡: Smoke on the water- Deep purple,미인- 시나위|실전 돌입~!!! - 16비트 연주법 익히기. -Mute Stroke 구분연주,-비브라토,밴딩등 테크닉연습,연습곡 코드진행 익히기,-연습곡: Still got the Bules- Gary moore,사랑해서,사랑해서-부활|밴드 곡을 완성하자~!!! -TB코드와 주법연습,-밴드합주(앙상블)연습,- 연습곡:학생분이 꼭 연주 해보고 싶었던 곡들||Sat|11:00:00|0:50:00
통기타 초급자를 위한 재밌는 1:1강습|acoustic_guitar|스마일라이프|첫 수업 시작전 학생분과의 개별 면담및 간단한 오리앤테이션을 통하여 100%맞춤형으로 수업 방향 및 연습 곡들을 택하고 결정합니다.(학생분이 좋아하고 꼭 해보고 싶었던 곡들 위주로 프로그램 구성) 기초 코드를 익힌 후 바로 연습곡(가요,팝송)등을 통하여 실습에 들어갑니다.|personal|FALSE|40000|1|4|150000|개인 악기가 없을 시 학원 악기 사용,수업 교재,악보등은 선생님께서 드림|1|기타의 이해,기타와 친해지기~!!! - C Major Scale의 이해,-TAB의 이해,-크로매틱 연습,-손가락 포지션연습,- 앞으로의 곡들 선정 |코드 진행을 익히자~!!! -Power코드 이해,-8비트 Mute연주법 익히기,-Am 펜타토닉 연습,- 연습곡: Smoke on the water- Deep purple,미인- 시나위|실전 돌입~!!! - 16비트 연주법 익히기. -Mute Stroke 구분연주,-비브라토,밴딩등 테크닉연습,연습곡 코드진행 익히기,-연습곡: Still got the Bules- Gary moore,사랑해서,사랑해서-부활|밴드 곡을 완성하자~!!! -TB코드와 주법연습,-밴드합주(앙상블)연습,- 연습곡:학생분이 꼭 연주 해보고 싶었던 곡들||Sun|11:00:00|0:50:00
통기타 초급자를 위한 재밌는 1:1강습|acoustic_guitar|스마일라이프|첫 수업 시작전 학생분과의 개별 면담및 간단한 오리앤테이션을 통하여 100%맞춤형으로 수업 방향 및 연습 곡들을 택하고 결정합니다.(학생분이 좋아하고 꼭 해보고 싶었던 곡들 위주로 프로그램 구성) 기초 코드를 익힌 후 바로 연습곡(가요,팝송)등을 통하여 실습에 들어갑니다.|personal|FALSE|40000|1|4|150000|개인 악기가 없을 시 학원 악기 사용,수업 교재,악보등은 선생님께서 드림|1|기타의 이해,기타와 친해지기~!!! - C Major Scale의 이해,-TAB의 이해,-크로매틱 연습,-손가락 포지션연습,- 앞으로의 곡들 선정 |코드 진행을 익히자~!!! -Power코드 이해,-8비트 Mute연주법 익히기,-Am 펜타토닉 연습,- 연습곡: Smoke on the water- Deep purple,미인- 시나위|실전 돌입~!!! - 16비트 연주법 익히기. -Mute Stroke 구분연주,-비브라토,밴딩등 테크닉연습,연습곡 코드진행 익히기,-연습곡: Still got the Bules- Gary moore,사랑해서,사랑해서-부활|밴드 곡을 완성하자~!!! -TB코드와 주법연습,-밴드합주(앙상블)연습,- 연습곡:학생분이 꼭 연주 해보고 싶었던 곡들||Mon|12:00:00|0:50:00
통기타 초급자를 위한 재밌는 1:1강습|acoustic_guitar|스마일라이프|첫 수업 시작전 학생분과의 개별 면담및 간단한 오리앤테이션을 통하여 100%맞춤형으로 수업 방향 및 연습 곡들을 택하고 결정합니다.(학생분이 좋아하고 꼭 해보고 싶었던 곡들 위주로 프로그램 구성) 기초 코드를 익힌 후 바로 연습곡(가요,팝송)등을 통하여 실습에 들어갑니다.|personal|FALSE|40000|1|4|150000|개인 악기가 없을 시 학원 악기 사용,수업 교재,악보등은 선생님께서 드림|1|기타의 이해,기타와 친해지기~!!! - C Major Scale의 이해,-TAB의 이해,-크로매틱 연습,-손가락 포지션연습,- 앞으로의 곡들 선정 |코드 진행을 익히자~!!! -Power코드 이해,-8비트 Mute연주법 익히기,-Am 펜타토닉 연습,- 연습곡: Smoke on the water- Deep purple,미인- 시나위|실전 돌입~!!! - 16비트 연주법 익히기. -Mute Stroke 구분연주,-비브라토,밴딩등 테크닉연습,연습곡 코드진행 익히기,-연습곡: Still got the Bules- Gary moore,사랑해서,사랑해서-부활|밴드 곡을 완성하자~!!! -TB코드와 주법연습,-밴드합주(앙상블)연습,- 연습곡:학생분이 꼭 연주 해보고 싶었던 곡들||Tue|12:00:00|0:50:00
통기타 초급자를 위한 재밌는 1:1강습|acoustic_guitar|스마일라이프|첫 수업 시작전 학생분과의 개별 면담및 간단한 오리앤테이션을 통하여 100%맞춤형으로 수업 방향 및 연습 곡들을 택하고 결정합니다.(학생분이 좋아하고 꼭 해보고 싶었던 곡들 위주로 프로그램 구성) 기초 코드를 익힌 후 바로 연습곡(가요,팝송)등을 통하여 실습에 들어갑니다.|personal|FALSE|40000|1|4|150000|개인 악기가 없을 시 학원 악기 사용,수업 교재,악보등은 선생님께서 드림|1|기타의 이해,기타와 친해지기~!!! - C Major Scale의 이해,-TAB의 이해,-크로매틱 연습,-손가락 포지션연습,- 앞으로의 곡들 선정 |코드 진행을 익히자~!!! -Power코드 이해,-8비트 Mute연주법 익히기,-Am 펜타토닉 연습,- 연습곡: Smoke on the water- Deep purple,미인- 시나위|실전 돌입~!!! - 16비트 연주법 익히기. -Mute Stroke 구분연주,-비브라토,밴딩등 테크닉연습,연습곡 코드진행 익히기,-연습곡: Still got the Bules- Gary moore,사랑해서,사랑해서-부활|밴드 곡을 완성하자~!!! -TB코드와 주법연습,-밴드합주(앙상블)연습,- 연습곡:학생분이 꼭 연주 해보고 싶었던 곡들||Wed|12:00:00|0:50:00
